"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19373","should add a new patient with all required fields and appear in listings","chromium","2026-06-18","passed","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","26","should expand patient row to show basic details","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","98","should apply filter and update patient count","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","32068","should display all required table columns","chromium","2026-06-17","broken","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","19","should show patient status badges","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","7","should verify the newly added patient","firefox","2026-06-17","skipped","2026-06-17","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","5422","should login successfully with valid credentials","chromium","2026-06-16","passed","2026-06-16","Metabolic Portal - Login Flow","e2e\login.spec.js","",""
"","36","should search patient by name and show results","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","9","should not submit when First Name is missing","firefox","2026-06-17","skipped","2026-06-17","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","9242","should not submit when all fields are empty","chromium","2026-06-18","passed","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","16","should show Add Patient (MRN) button","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","32","should show clear filter button only when search is active","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","7750","should load patient listings page successfully","chromium","2026-06-17","passed","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","2","should show error for non-existent MRN","chromium","2026-06-18","skipped","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","15","should open MRN search when clicking Add Patient (MRN)","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","23","should open filter modal when clicking Filter button","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","27","should apply saved filter and update results","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","21","should display Apply Filters, Save Filter Set and Cancel buttons","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","25","should show three-dot menu button on each patient row","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","8068","should login successfully with valid credentials","firefox","2026-06-16","passed","2026-06-16","Metabolic Portal - Login Flow","e2e\login.spec.js","",""
"","41","should show correct patient count after search","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","4","should open MRN lookup modal when clicking Add Patient (MRN)","chromium","2026-06-18","skipped","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","21","should open add patient form when clicking Add Patient","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","26","should show multiple saved filter chips","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
